locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Michigan,Diabetic Eye Diseases,Severe non-proliferative,65-84 years,Male,"Black, non-Hispanic",0.15,0.03,0.44,110.0,2000.0,26,-84.71439026999,44.661319543
Nebraska,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,40-64 years,Female,North American Native,0.0,0.0,0.86,30.0,430.0,31,-99.36572062299,41.641040988
Texas,Diabetic Eye Diseases,All Diabetic eye diseases,40-64 years,Female,Unknown,3.06,2.83,3.31,610.0,19900.0,48,-99.42677020599,31.827240407
Wisconsin,Orbital and External Disease,Dry eye syndrome,40 years and older,Male,Other,0.04,0.02,0.33,70.0,13100.0,55,-89.81637074199,44.393191174
Washington,Orbital and External Disease,Lacrimal diseases,18-39 years,Female,"Black, non-Hispanic",0.07,0.04,0.11,20.0,27600.0,53,-120.4700107899,47.522278629
Kansas,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,65-84 years,Female,Unknown,0.1,0.06,0.44,70.0,16300.0,20,-98.20078122699,38.3477403
Illinois,Cornea Disorders,Endothelial dystrophy (Fuchs),All ages,Female,"Black, non-Hispanic",0.01,0.01,0.02,50.0,426800.0,17,-88.99771017799,40.485010283
North Carolina,Orbital and External Disease,All Orbital and external disease,All ages,Female,"Hispanic, any race",0.9,0.86,0.95,1500.0,166000.0,37,-79.15925046299,35.466220975
Pennsylvania,Diabetic Eye Diseases,Severe non-proliferative,0-17 years,Male,"White, non-Hispanic",0.0,0.0,0.0,160.0,322400.0,42,-77.86070029399,40.793730152
Florida,Age Related Macular Degeneration,Non-vision threatening stage,40 years and older,All genders,"Black, non-Hispanic",0.2,0.17,0.23,160.0,79500.0,12,-81.92896053899,28.932040377
Massachusetts,Other Retinal Disorders,All Other retinal disorders,40-64 years,Female,Other,0.13,0.09,0.45,110.0,20200.0,25,-72.08269067499,42.27687047
Maine,Glaucoma,Primary angle-closure glaucoma,65-84 years,Female,All races,2.38,0.49,6.8,50.0,130.0,23,-68.98503133599,45.254228894
Montana,Orbital and External Disease,Disorders of the globe,40 years and older,All genders,"White, non-Hispanic",0.02,0.01,0.04,60.0,38000.0,30,-109.4244206449,47.066528972
Georgia,Age Related Macular Degeneration,Vision threatening stage,0-17 years,Male,Asian,0.0,0.0,0.02,90.0,16500.0,13,-83.62758034599,32.839681093
Illinois,Age Related Macular Degeneration,Choroidal neovascularization,All ages,Female,"White, non-Hispanic",0.01,0.01,0.02,80.0,604200.0,17,-88.99771017799,40.485010283
Colorado,Other Retinal Disorders,Retinopathy of prematurity,65 years and older,All genders,"Black, non-Hispanic",0.0,0.0,1.28,80.0,290.0,8,-106.1336109209,38.843840757
North Carolina,Diabetic Eye Diseases,Non-proliferative,65-84 years,All genders,Other,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Missouri,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),All ages,All genders,All races,0.01,0.01,0.01,90.0,917900.0,29,-92.56630005299,38.635790776
New Jersey,Other Retinal Disorders,Myopic degeneration,40 years and older,Male,"Black, non-Hispanic",0.08,0.05,0.11,30.0,37400.0,34,-74.27369128799,40.130570048
Texas,Other Retinal Disorders,Central retinal arterial occlusion,65-84 years,All genders,"Black, non-Hispanic",0.0,0.0,1.07,120.0,340.0,48,-99.42677020599,31.827240407
New Mexico,Orbital and External Disease,Eyelid disorders,All ages,All genders,Asian,0.36,0.22,0.54,20.0,5900.0,35,-106.2405809849,34.520880952
District Of Columbia,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,65-84 years,Female,"Hispanic, any race",0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
Connecticut,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,0-17 years,Male,All races,9.2799999999,9.1399999999,9.4199999999,15100.0,162300.0,9,-72.64984095199,41.56266102
New Mexico,Other Retinal Disorders,Other/unspecified other retinal disorders,All ages,All genders,Asian,0.34,0.21,0.52,20.0,5900.0,35,-106.2405809849,34.520880952
New Hampshire,Diabetic Eye Diseases,Non-proliferative,40-64 years,All genders,"Hispanic, any race",1.56,0.97,2.38,20.0,1300.0,33,-71.50036091999,43.655950113
California,Other Eye Disorders,Other eye disorders,40 years and older,Female,Other,1.72,1.44,2.04,130.0,7400.0,6,-120.9999995379,37.638640123
Kansas,Glaucoma,Suspect or unclassified glaucoma,18-39 years,All genders,All races,0.69,0.63,0.74,600.0,87300.0,20,-98.20078122699,38.3477403
District Of Columbia,Cornea Disorders,Keratoconus,65 years and older,Female,"Black, non-Hispanic",0.0,0.0,0.46,50.0,800.0,11,-77.03196112699,38.890371385
Wisconsin,Other Retinal Disorders,Branch retinal vein occlusion,40-64 years,Female,North American Native,0.0,0.0,0.17,70.0,2100.0,55,-89.81637074199,44.393191174
Idaho,Orbital and External Disease,Other/unspecified orbital and external disease,40-64 years,Female,"Hispanic, any race",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
Texas,Infectious and Inflammatory Diseases,Endophthalmitis,65-84 years,Female,All races,0.07,0.05,0.34,120.0,26600.0,48,-99.42677020599,31.827240407
Iowa,Other Retinal Disorders,All Other retinal disorders,All ages,All genders,"White, non-Hispanic",0.44,0.42,0.46,1500.0,337900.0,19,-93.81649055599,42.469400913
Arkansas,Other Retinal Disorders,Central retinal vein occlusion,65-84 years,Female,North American Native,0.02,0.01,0.28,90.0,21300.0,5,-92.27449074299,34.748650124
Virginia,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,85 years and older,Male,Unknown,0.07,0.04,0.36,70.0,8800.0,51,-78.45789046299,37.542680674
Hawaii,Infectious and Inflammatory Diseases,Keratitis,65-84 years,Female,Unknown,1.84,0.5,4.65,60.0,220.0,15,-157.8577494029,21.304850435
Nebraska,Orbital and External Disease,Other/unspecified orbital and external disease,0-17 years,All genders,"Hispanic, any race",0.03,0.02,0.05,10.0,47800.0,31,-99.36572062299,41.641040988
Connecticut,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,65 years and older,Male,Unknown,0.7,0.15,2.04,100.0,430.0,9,-72.64984095199,41.56266102
Massachusetts,Retinal Detachment and Defects,Retinal detachment and defects,18-39 years,Female,North American Native,0.13,0.09,0.45,110.0,20200.0,25,-72.08269067499,42.27687047
South Carolina,Cancer and Neoplasms of the Eye,Benign neoplasm,18 years and older,Female,"Black, non-Hispanic",0.05,0.04,0.07,50.0,94600.0,45,-81.04537120699,33.998821303
Virginia,Cornea Disorders,Keratoconus,65-84 years,Female,"Hispanic, any race",0.0,0.0,6.6,70.0,50.0,51,-78.45789046299,37.542680674
Florida,Cancer and Neoplasms of the Eye,Benign neoplasm,65-84 years,Female,"White, non-Hispanic",0.35,0.11,0.81,100.0,1400.0,12,-81.92896053899,28.932040377
Nevada,Other Retinal Disorders,Branch retinal artery occlusion,18 years and older,Male,Other,0.0,0.0,0.14,70.0,2600.0,32,-117.0718405639,39.49324039
Wisconsin,Diabetic Eye Diseases,Non-vision threatening stage,0-17 years,Female,"White, non-Hispanic",0.04,0.02,0.33,70.0,13100.0,55,-89.81637074199,44.393191174
West Virginia,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,18 years and older,Female,All races,0.13,0.11,0.14,220.0,173900.0,54,-80.71264013499,38.665510202
Hawaii,Infectious and Inflammatory Diseases,Conjunctivitis,18 years and older,Male,Unknown,1.5,1.33,1.68,280.0,18600.0,15,-157.8577494029,21.304850435
Virginia,Cornea Disorders,Other corneal disorders,0-17 years,Male,Unknown,0.07,0.04,0.36,70.0,8800.0,51,-78.45789046299,37.542680674
Arkansas,Other Retinal Disorders,Branch retinal vein occlusion,All ages,Female,"Hispanic, any race",0.01,0.0,0.01,90.0,107700.0,5,-92.27449074299,34.748650124
Arizona,Age Related Macular Degeneration,Vision threatening stage,0-17 years,Male,"Hispanic, any race",0.0,0.0,0.17,90.0,2200.0,4,-111.7638112769,34.86597028
Louisiana,Other Visual Disturbances,Other/unspecified visual disturbances,40-64 years,Male,"Hispanic, any race",0.78,0.54,1.07,40.0,4600.0,22,-92.44568007099,31.312660644
District Of Columbia,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,18 years and older,All genders,Asian,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
Massachusetts,Age Related Macular Degeneration,Advanced GA or Inactive CNV,18 years and older,All genders,Unknown,0.01,0.01,0.01,30.0,329600.0,25,-72.08269067499,42.27687047
Nebraska,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,All ages,Female,"Black, non-Hispanic",0.0,0.0,0.02,30.0,19400.0,31,-99.36572062299,41.641040988
New York,Age Related Macular Degeneration,Advanced GA or Inactive CNV,0-17 years,All genders,All races,0.0,0.0,0.0,240.0,1918200.0,36,-75.54397042699,42.827001032
Washington,Diabetic Eye Diseases,All Diabetic eye diseases,0-17 years,Female,"Black, non-Hispanic",0.0,0.0,0.01,90.0,27700.0,53,-120.4700107899,47.522278629
West Virginia,Other Retinal Disorders,Non-Occlusive retinal vascular disease,65 years and older,Male,Unknown,0.48,0.18,1.04,60.0,1200.0,54,-80.71264013499,38.665510202
Wisconsin,Glaucoma,Glaucoma suspect,0-17 years,All genders,Asian,0.15,0.1,0.21,30.0,18500.0,55,-89.81637074199,44.393191174
New York,Other Eye Disorders,Other eye disorders,65 years and older,Female,"White, non-Hispanic",3.77,3.28,4.31,210.0,5500.0,36,-75.54397042699,42.827001032
Wyoming,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,65-84 years,All genders,All races,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Delaware,Diabetic Eye Diseases,Severe non-proliferative,All ages,Male,North American Native,0.0,0.0,1.57,60.0,230.0,10,-75.57774116799,39.008830667
North Carolina,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,18 years and older,Male,"Hispanic, any race",0.02,0.01,0.05,70.0,20000.0,37,-79.15925046299,35.466220975
Connecticut,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,65-84 years,Female,All races,1.23,0.96,1.56,70.0,5400.0,9,-72.64984095199,41.56266102
North Dakota,Orbital and External Disease,Congenital anomalies,18-39 years,Male,"Hispanic, any race",0.0,0.0,0.65,30.0,570.0,38,-100.1184210489,47.475319779
South Dakota,Cancer and Neoplasms of the Eye,Benign neoplasm,0-17 years,All genders,All races,0.05,0.04,0.07,40.0,76000.0,46,-100.3735306369,44.353130053
New Mexico,Age Related Macular Degeneration,Non-vision threatening stage,18-39 years,Male,Unknown,0.0,0.0,0.17,80.0,2200.0,35,-106.2405809849,34.520880952
Virginia,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,65 years and older,Female,"Hispanic, any race",0.0,0.0,5.6,70.0,60.0,51,-78.45789046299,37.542680674
New York,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,0-17 years,Female,"Black, non-Hispanic",0.13,0.11,0.15,220.0,171400.0,36,-75.54397042699,42.827001032
Iowa,Glaucoma,Glaucoma suspect,18 years and older,Female,All races,0.9,0.86,0.94,1800.0,205400.0,19,-93.81649055599,42.469400913
Ohio,Age Related Macular Degeneration,Dry-form age-related macular degeneration,85 years and older,All genders,All races,4.24,2.93,5.9,30.0,780.0,39,-82.40426005599,40.060210141
Arizona,Other Visual Disturbances,Night blindness,0-17 years,All genders,Unknown,0.0,0.0,0.01,10.0,282700.0,4,-111.7638112769,34.86597028
Connecticut,Orbital and External Disease,Other/unspecified orbital and external disease,40 years and older,All genders,"Black, non-Hispanic",0.15,0.11,0.2,50.0,35000.0,9,-72.64984095199,41.56266102
South Dakota,Orbital and External Disease,Lacrimal diseases,All ages,Female,"White, non-Hispanic",0.12,0.09,0.17,40.0,28300.0,46,-100.3735306369,44.353130053
Washington,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,18-39 years,Female,Other,0.07,0.04,0.25,90.0,23200.0,53,-120.4700107899,47.522278629
New Jersey,Diabetic Eye Diseases,Other diabetes related eye disorders,65-84 years,All genders,Unknown,0.97,0.68,1.36,30.0,3500.0,34,-74.27369128799,40.130570048
Mississippi,Other Retinal Disorders,Hereditary chorioretinal dystrophy,40 years and older,All genders,Unknown,0.1,0.04,0.21,90.0,6900.0,28,-89.53803082499,32.745510099
New Jersey,Diabetic Eye Diseases,Other diabetes related eye disorders,85 years and older,All genders,Unknown,0.21,0.14,0.48,120.0,29000.0,34,-74.27369128799,40.130570048
Nebraska,Orbital and External Disease,Dry eye syndrome,40 years and older,Female,Unknown,2.1,1.09,3.64,10.0,570.0,31,-99.36572062299,41.641040988
Arkansas,Other Visual Disturbances,Other/unspecified visual disturbances,40-64 years,Male,"Hispanic, any race",0.5,0.39,0.63,70.0,13800.0,5,-92.27449074299,34.748650124
Washington,Orbital and External Disease,All Orbital and external disease,85 years and older,All genders,All races,5.71,2.5,10.95,90.0,140.0,53,-120.4700107899,47.522278629
Georgia,Cornea Disorders,Cornea disorder related to contact lens,65-84 years,Male,"Hispanic, any race",0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
Oklahoma,Retinal Detachment and Defects,Retinal detachment and defects,18-39 years,Female,Asian,0.04,0.02,0.42,60.0,6700.0,40,-97.52107021399,35.472031356
New Hampshire,Cornea Disorders,Cornea disorder related to contact lens,40-64 years,Female,Asian,0.0,0.0,0.9,40.0,410.0,33,-71.50036091999,43.655950113
Puerto Rico,Glaucoma,Primary angle-closure glaucoma,18-39 years,Female,"Hispanic, any race",0.01,0.01,0.02,20.0,170500.0,72,-66.590149,18.220833
West Virginia,Cornea Disorders,Cornea disorder related to contact lens,18-39 years,Female,Asian,0.0,0.0,3.62,60.0,100.0,54,-80.71264013499,38.665510202
Indiana,Orbital and External Disease,Disorders of the globe,18-39 years,All genders,All races,0.01,0.0,0.01,30.0,424800.0,18,-86.14996019399,39.766910452
Maine,Orbital and External Disease,Disorders of the globe,0-17 years,All genders,"Black, non-Hispanic",0.0,0.0,0.06,50.0,6100.0,23,-68.98503133599,45.254228894
Washington,Glaucoma,Other/unspecified glaucoma,85 years and older,All genders,Unknown,0.07,0.04,0.25,90.0,23200.0,53,-120.4700107899,47.522278629
Iowa,Diabetic Eye Diseases,Other diabetes related eye disorders,40-64 years,Male,North American Native,1.07,0.35,2.47,70.0,470.0,19,-93.81649055599,42.469400913
Kentucky,Retinal Detachment and Defects,Retinal detachment and defects,65-84 years,All genders,Unknown,0.02,0.01,0.56,90.0,7000.0,21,-84.77497104799,37.645970271
Nebraska,Other Visual Disturbances,Color blindness,65-84 years,Male,Other,0.0,0.0,0.68,30.0,1900.0,31,-99.36572062299,41.641040988
Maine,Cancer and Neoplasms of the Eye,Malignant neoplasm,40 years and older,Female,"Black, non-Hispanic",0.0,0.0,0.53,50.0,700.0,23,-68.98503133599,45.254228894
Colorado,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,85 years and older,Female,"Hispanic, any race",0.0,0.0,8.8099999999,80.0,40.0,8,-106.1336109209,38.843840757
Massachusetts,Other Retinal Disorders,Hereditary chorioretinal dystrophy,18 years and older,Male,"White, non-Hispanic",0.04,0.03,0.05,60.0,140700.0,25,-72.08269067499,42.27687047
New Jersey,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),18-39 years,All genders,Asian,0.27,0.21,0.34,70.0,24900.0,34,-74.27369128799,40.130570048
New Jersey,Other Visual Disturbances,Color blindness,All ages,Male,"Hispanic, any race",0.02,0.01,0.03,40.0,207100.0,34,-74.27369128799,40.130570048
South Carolina,Cornea Disorders,Cornea disorder related to contact lens,40 years and older,All genders,"Black, non-Hispanic",0.02,0.01,0.05,90.0,30600.0,45,-81.04537120699,33.998821303
North Carolina,Other Retinal Disorders,Branch retinal vein occlusion,0-17 years,Male,Asian,0.0,0.0,0.03,70.0,11100.0,37,-79.15925046299,35.466220975
Nevada,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),40-64 years,Male,North American Native,0.07,0.04,0.26,70.0,11400.0,32,-117.0718405639,39.49324039
New Jersey,Diabetic Eye Diseases,Vision threatening stage,40-64 years,Female,"White, non-Hispanic",0.42,0.38,0.47,320.0,75300.0,34,-74.27369128799,40.130570048
North Dakota,Other Retinal Disorders,Branch retinal vein occlusion,0-17 years,Female,Unknown,0.0,0.0,7.11,30.0,50.0,38,-100.1184210489,47.475319779
Maryland,Other Eye Disorders,Other eye disorders,40-64 years,Female,Other,4.83,2.34,8.7,120.0,210.0,24,-76.60926011099,39.290580964
Washington,Other Visual Disturbances,Other/unspecified visual disturbances,0-17 years,All genders,Unknown,0.62,0.57,0.67,570.0,92700.0,53,-120.4700107899,47.522278629
Ohio,Other Visual Disturbances,Other/unspecified visual disturbances,40 years and older,Female,All races,2.37,2.31,2.42,7700.0,323800.0,39,-82.40426005599,40.060210141
California,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,65 years and older,Female,Other,0.0,0.0,1.3,250.0,280.0,6,-120.9999995379,37.638640123
Virginia,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,65 years and older,All genders,North American Native,0.0,0.0,11.22,70.0,30.0,51,-78.45789046299,37.542680674
Pennsylvania,Infectious and Inflammatory Diseases,Keratitis,18 years and older,Male,Unknown,0.2,0.16,0.25,90.0,42700.0,42,-77.86070029399,40.793730152
Pennsylvania,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,65 years and older,Male,"Hispanic, any race",0.0,0.0,5.52,160.0,70.0,42,-77.86070029399,40.793730152
Illinois,Age Related Macular Degeneration,Advanced GA or Inactive CNV,65 years and older,All genders,All races,0.24,0.19,0.3,80.0,33800.0,17,-88.99771017799,40.485010283
Louisiana,Orbital and External Disease,All Orbital and external disease,65 years and older,All genders,"Hispanic, any race",3.5,1.61,6.54,130.0,260.0,22,-92.44568007099,31.312660644
Wisconsin,Other Retinal Disorders,All Other retinal disorders,0-17 years,All genders,Asian,0.14,0.09,0.21,30.0,18500.0,55,-89.81637074199,44.393191174
New Jersey,Infectious and Inflammatory Diseases,Keratitis,65 years and older,Male,"White, non-Hispanic",0.55,0.18,1.28,120.0,910.0,34,-74.27369128799,40.130570048
Georgia,Glaucoma,Suspect or unclassified glaucoma,65-84 years,Female,North American Native,0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
Illinois,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,65-84 years,Male,Other,0.12,0.07,0.38,120.0,22700.0,17,-88.99771017799,40.485010283
Virginia,Other Retinal Disorders,Hereditary chorioretinal dystrophy,All ages,Male,North American Native,0.0,0.0,0.13,70.0,2800.0,51,-78.45789046299,37.542680674
South Carolina,Other Retinal Disorders,Branch retinal artery occlusion,65-84 years,Female,Asian,0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
South Carolina,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,18-39 years,All genders,"Black, non-Hispanic",0.02,0.01,0.03,20.0,93400.0,45,-81.04537120699,33.998821303
National,Cancer and Neoplasms of the Eye,Benign neoplasm,0-17 years,All genders,Unknown,0.07,0.07,0.07,4500.0,6474100.0,59,-93.23609634939444,40.43953357133333
Texas,Age Related Macular Degeneration,Unspecified-age related macular degeneration,18 years and older,Male,All races,0.01,0.01,0.02,40.0,310800.0,48,-99.42677020599,31.827240407
National,Age Related Macular Degeneration,Non-vision threatening stage,65 years and older,Female,Unknown,1.85,1.73,1.98,820.0,44300.0,59,-93.23609634939444,40.43953357133333
Texas,Age Related Macular Degeneration,Vision threatening stage,0-17 years,Female,Other,0.0,0.0,0.03,120.0,12500.0,48,-99.42677020599,31.827240407
Nevada,Cornea Disorders,Cornea disorder related to contact lens,40-64 years,Male,"Hispanic, any race",0.07,0.04,0.26,70.0,11400.0,32,-117.0718405639,39.49324039
Oregon,Orbital and External Disease,Disorders of the globe,65-84 years,Male,"White, non-Hispanic",0.09,0.02,0.28,70.0,3200.0,41,-120.1550313259,44.567449424
Minnesota,Orbital and External Disease,Dry eye syndrome,18 years and older,Female,"Black, non-Hispanic",2.07,1.96,2.18,1400.0,65900.0,27,-94.79420050299,46.355648736
Virginia,Age Related Macular Degeneration,Early stage age-related macular degeneration,65-84 years,All genders,"Black, non-Hispanic",0.42,0.22,0.73,10.0,2900.0,51,-78.45789046299,37.542680674
Massachusetts,Other Visual Disturbances,Other/unspecified visual disturbances,40 years and older,All genders,"Hispanic, any race",2.54,2.29,2.81,370.0,14600.0,25,-72.08269067499,42.27687047
National,Orbital and External Disease,All Orbital and external disease,40 years and older,Male,Unknown,2.15,2.12,2.18,22400.0,1041700.0,59,-93.23609634939444,40.43953357133333
Georgia,Other Visual Disturbances,Color blindness,18 years and older,All genders,"White, non-Hispanic",0.0,0.0,0.01,90.0,230100.0,13,-83.62758034599,32.839681093
Mississippi,Diabetic Eye Diseases,Severe non-proliferative,All ages,Female,North American Native,0.01,0.0,0.64,90.0,3400.0,28,-89.53803082499,32.745510099
South Carolina,Age Related Macular Degeneration,Early stage age-related macular degeneration,0-17 years,Female,"Black, non-Hispanic",0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
Montana,Cancer and Neoplasms of the Eye,Benign neoplasm,65 years and older,All genders,"Hispanic, any race",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
New York,Glaucoma,Open-angle glaucoma,65 years and older,All genders,Other,3.81,2.34,5.8199999999,20.0,530.0,36,-75.54397042699,42.827001032
Massachusetts,Cornea Disorders,Other corneal disorders,18-39 years,Male,Unknown,0.14,0.11,0.16,120.0,90900.0,25,-72.08269067499,42.27687047
Montana,Diabetic Eye Diseases,Severe non-proliferative,18-39 years,Male,"White, non-Hispanic",0.01,0.0,0.03,60.0,25800.0,30,-109.4244206449,47.066528972
South Carolina,Diabetic Eye Diseases,All Diabetic eye diseases,40 years and older,Female,Other,0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
Wyoming,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,65 years and older,Male,"White, non-Hispanic",0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Wisconsin,Cornea Disorders,Keratoconus,40 years and older,All genders,North American Native,0.0,0.0,0.1,70.0,3900.0,55,-89.81637074199,44.393191174
Colorado,Cornea Disorders,Corneal transplant,40 years and older,Male,"Hispanic, any race",0.0,0.0,0.04,80.0,8800.0,8,-106.1336109209,38.843840757
Virginia,Infectious and Inflammatory Diseases,Endophthalmitis,0-17 years,Male,North American Native,0.0,0.0,0.25,70.0,1500.0,51,-78.45789046299,37.542680674
Georgia,Other Retinal Disorders,Hereditary chorioretinal dystrophy,65 years and older,All genders,North American Native,0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
South Dakota,Diabetic Eye Diseases,Other diabetes related eye disorders,18 years and older,All genders,"Black, non-Hispanic",0.0,0.0,0.33,40.0,1100.0,46,-100.3735306369,44.353130053
New York,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,40 years and older,Female,Unknown,0.0,0.0,0.01,240.0,195600.0,36,-75.54397042699,42.827001032
Connecticut,Orbital and External Disease,Other/unspecified orbital and external disease,18-39 years,All genders,Unknown,0.05,0.04,0.07,80.0,144400.0,9,-72.64984095199,41.56266102
Wisconsin,Other Retinal Disorders,Retinopathy of prematurity,40 years and older,All genders,Unknown,0.0,0.0,0.02,70.0,22600.0,55,-89.81637074199,44.393191174
Nebraska,Diabetic Eye Diseases,Non-vision threatening stage,85 years and older,Female,All races,0.0,0.0,0.68,30.0,1900.0,31,-99.36572062299,41.641040988
North Carolina,Orbital and External Disease,Dry eye syndrome,65-84 years,Male,"Black, non-Hispanic",1.65,0.79,3.01,70.0,610.0,37,-79.15925046299,35.466220975
Ohio,Age Related Macular Degeneration,Unspecified-age related macular degeneration,18-39 years,Male,Other,0.0,0.0,0.04,130.0,8400.0,39,-82.40426005599,40.060210141
New York,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,40-64 years,All genders,All races,0.01,0.01,0.01,160.0,1302600.0,36,-75.54397042699,42.827001032
Wyoming,Cornea Disorders,Corneal transplant,65-84 years,Male,"Hispanic, any race",0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Kentucky,Diabetic Eye Diseases,Proliferative diabetic retinopathy,40-64 years,Male,"Black, non-Hispanic",0.3,0.21,0.41,40.0,13400.0,21,-84.77497104799,37.645970271
California,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,All ages,Female,North American Native,0.08,0.05,0.12,20.0,25900.0,6,-120.9999995379,37.638640123
Oregon,Age Related Macular Degeneration,All Age-related macular degeneration (AMD),85 years and older,Female,All races,5.74,3.0,9.8099999999,10.0,210.0,41,-120.1550313259,44.567449424
Oklahoma,Other Retinal Disorders,Central retinal arterial occlusion,18 years and older,Male,Unknown,0.04,0.02,0.42,60.0,6700.0,40,-97.52107021399,35.472031356
Maine,Other Retinal Disorders,Central retinal arterial occlusion,65-84 years,Male,Unknown,0.01,0.0,0.72,50.0,1400.0,23,-68.98503133599,45.254228894
Texas,Other Retinal Disorders,Hereditary chorioretinal dystrophy,18 years and older,Female,Unknown,0.07,0.05,0.09,40.0,61900.0,48,-99.42677020599,31.827240407
West Virginia,Other Visual Disturbances,Color blindness,All ages,Male,"White, non-Hispanic",0.01,0.01,0.02,20.0,140700.0,54,-80.71264013499,38.665510202
National,Orbital and External Disease,All Orbital and external disease,0-17 years,Male,Unknown,1.03,1.02,1.04,34500.0,3358000.0,59,-93.23609634939444,40.43953357133333
Washington,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),40-64 years,Male,"Black, non-Hispanic",0.09,0.05,0.15,10.0,14900.0,53,-120.4700107899,47.522278629
Wisconsin,Glaucoma,Open-angle glaucoma,85 years and older,All genders,All races,3.68,1.78,6.66,70.0,270.0,55,-89.81637074199,44.393191174
North Carolina,Glaucoma,Open-angle glaucoma,65-84 years,All genders,Asian,2.04,0.42,5.85,70.0,150.0,37,-79.15925046299,35.466220975
Maryland,Diabetic Eye Diseases,Diabetic macular edema,18-39 years,All genders,Asian,0.03,0.01,0.06,120.0,24100.0,24,-76.60926011099,39.290580964
Tennessee,Cornea Disorders,Corneal transplant,65 years and older,All genders,All races,0.0,0.0,0.09,150.0,4000.0,47,-85.77449091399,35.68094058
Pennsylvania,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,18-39 years,Male,Unknown,0.15,0.11,0.21,40.0,24800.0,42,-77.86070029399,40.793730152
Kansas,Glaucoma,Open-angle glaucoma,40 years and older,Male,All races,1.36,1.16,1.59,160.0,11500.0,20,-98.20078122699,38.3477403
District Of Columbia,Glaucoma,All Glaucoma,18 years and older,Female,Asian,0.5,0.1,1.44,50.0,610.0,11,-77.03196112699,38.890371385
North Carolina,Other Retinal Disorders,Branch retinal vein occlusion,40 years and older,Female,"White, non-Hispanic",0.04,0.03,0.06,30.0,62100.0,37,-79.15925046299,35.466220975
Illinois,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,0-17 years,Male,Other,0.0,0.0,0.51,120.0,720.0,17,-88.99771017799,40.485010283
District Of Columbia,Cancer and Neoplasms of the Eye,Malignant neoplasm,All ages,All genders,"Hispanic, any race",0.0,0.0,0.06,50.0,6600.0,11,-77.03196112699,38.890371385
California,Age Related Macular Degeneration,Vision threatening stage,85 years and older,Male,Unknown,1.87,0.76,3.82,250.0,370.0,6,-120.9999995379,37.638640123
Idaho,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,85 years and older,Male,Unknown,0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
